"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-369-5p",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"hsa-miR-370-3p",0,0,0,1870,1423,0,0,1323,0,0,0,1067,0,468,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,113,365,0,0,310
"hsa-miR-374b-5p",0,0,0,437520,811492,0,0,498118,0,1,0,0,0,1,0,4,2,0,0,0,10,0,4,6,0,0,0,0,0,1,0,1,0,0
"hsa-miR-377-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-380-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-381-3p",0,0,0,304,757,598,0,598,348,302,280,188,0,878,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,788,0,679,0,0
"hsa-miR-3913-5p",0,0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-3928-3p",0,0,0,356,0,0,0,298,0,292,0,294,330,669,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,465,214,653
"hsa-miR-409-5p",0,0,0,14,6,0,0,0,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,10,0
"hsa-miR-410-3p",0,0,0,1397,0,0,0,526,1423,402,0,1188,0,569,0,0,0,0,0,0,0,0,0,0,1,0,0,0,597,512,477,0,0,407
"hsa-miR-411-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-411-5p",0,0,0,962,117,0,1015,219,802,835,1375,87,0,977,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3167
"hsa-miR-412-5p",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-424-5p",0,0,0,5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
"hsa-miR-425-3p",0,0,0,829,0,0,0,281,0,606,0,997,309,619,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,934,1199,555,0
"hsa-miR-4267",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-431-5p",0,0,0,750,169,0,0,315,1754,1016,972,1110,0,687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1891,2730,0,345,0
"hsa-miR-432-5p",0,0,0,67,0,0,0,54,81,81,68,90,10,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,122,10,0
"hsa-miR-433-3p",0,0,0,10,0,0,0,9,16,5,41,5,0,10,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-433-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4422",0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
"hsa-miR-4433b-3p",0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4435",0,0,0,12,0,0,0,27,16,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,27
"hsa-miR-4446-3p",0,0,0,1621,130,0,0,2828,2293,6641,2259,223,807,1311,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3009,6725,2406,4959,3959,0
"hsa-miR-4449",0,0,0,2,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
"hsa-miR-450a-5p",0,0,0,166,269,676,0,0,396,0,676,215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1018,0,0,0
"hsa-miR-454-5p",0,0,0,1421,215,0,0,0,726,155,0,395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,427,0,359,0,0,0,0
