"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-29b-2-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-32-5p",0,0,0,0,205577,0,0,0,299767,0,1,1,0,0,2,0,2,4,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0
"hsa-miR-3613-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-365b-3p",0,0,0,0,271,0,1313,0,0,261,0,99,0,263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,693,0,0,0
"hsa-miR-378c",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3942-5p",0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4508",0,0,0,0,5,0,0,12,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4516",0,0,0,0,127,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,429,0,0,0
"hsa-miR-452-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4661-5p",0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4666a-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4677-3p",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,24,0
"hsa-miR-4697-3p",0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4758-3p",0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"hsa-miR-4775",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4799-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-483-3p",0,0,0,0,188,0,0,464,289,525,0,163,343,0,581,0,0,0,0,0,0,0,0,1,0,0,0,0,0,637,644,0,1185,0
"hsa-miR-516b-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-520a-3p",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5683",0,0,0,0,520140,1091862,948439,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,8,0,0,0,2,0,0,0
"hsa-miR-598-3p",0,0,0,0,544,0,0,0,0,0,0,316,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,259,0
"hsa-miR-600",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6090",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-627-5p",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-664a-5p",0,0,0,0,5,27,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-665",0,0,0,0,5,27,0,0,15,0,0,0,19,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6716-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6738-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6748-3p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"hsa-miR-6786-3p",0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6793-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6820-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"hsa-miR-6855-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6885-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"hsa-miR-7848-3p",0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-8061",0,0,0,0,225,0,0,3451,0,738,239,189,849,0,1418,0,0,0,0,0,0,1,0,0,0,0,0,4188,0,440,1012,0,0,0
"hsa-miR-874-5p",0,0,0,0,5,0,47,12,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-887-5p",0,0,0,0,71,0,0,2080,224,0,159,0,266,137,1409,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,0
"hsa-miR-98-3p",0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"hsa-miR-1306-5p",0,0,0,0,0,990,0,0,0,167,393,132,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,839
"hsa-miR-1915-3p",0,0,0,0,0,1089,0,478,0,173,0,0,0,390,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,483,0,0,0
"hsa-miR-193b-5p",0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-3p",0,0,0,0,0,1313,0,576,0,0,0,863,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,657,0,0,0,0
"hsa-miR-4259",0,0,0,0,0,2787,0,0,0,0,767,0,288,314,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1653,0,0
"hsa-miR-4745-5p",0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
"hsa-miR-489-3p",0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5587-3p",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6738-5p",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,179,0,17,0,44,114,0,0,0,0,0,0,0
"hsa-miR-6803-3p",0,0,0,0,0,27,0,12,15,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-6827-3p",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7856-5p",0,0,0,0,0,55,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-101-5p",0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-3p",0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-210-5p",0,0,0,0,0,0,1226,0,0,119,0,0,223,0,783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,254,258,1009,0,0
"hsa-miR-30c-2-3p",0,0,0,0,0,0,555331,0,0,0,1,1,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"hsa-miR-31-5p",0,0,0,0,0,0,284,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
"hsa-miR-4513",0,0,0,0,0,0,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4746-5p",0,0,0,0,0,0,2062,0,0,181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,275,0,242,0,0
"hsa-miR-4786-5p",0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7704",0,0,0,0,0,0,95,25,0,11,0,5,0,10,0,0,78,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,376,114,0,0,0,516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,504,0,0,0,0
"hsa-miR-216b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-379-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4485-3p",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10226",0,0,0,0,0,0,0,62,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1290",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1292-3p",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1538",0,0,0,0,0,0,0,224,286,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,722,0
"hsa-miR-17-3p",0,0,0,0,0,0,0,12,15,33,0,0,0,0,0,0,78,0,0,51,29,0,0,0,0,0,38,0,0,0,0,0,0,0
"hsa-miR-20b-5p",0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3678-5p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-378i",0,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4324",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4446-5p",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4492",0,0,0,0,0,0,0,12,30,0,24,0,9,0,31,0,0,0,0,0,29,0,0,0,36,0,0,0,0,0,0,0,0,0
"hsa-miR-455-5p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4776-3p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,139,36,0,0,0,12,0
"hsa-miR-483-5p",0,0,0,0,0,0,0,637750,0,0,2,1,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"hsa-miR-668-3p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6735-5p",0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,27
"hsa-miR-6834-3p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6839-5p",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6852-3p",0,0,0,0,0,0,0,12,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
