"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-93-5p",4,25,5,114,68,9,11,26,25,20,10,35,17,24,7,6,5,11,3,13,21,12,12,19,15,15,7,8,5,9,5,9,9,2
"hsa-miR-127-3p",0,6,3,212,75,8,5,104,33,118,42,195,30,90,11,0,3,3,8,5,6,3,1,1,2,4,1,10,9,52,53,29,41,11
"hsa-miR-151a-5p",8,66,24,2031,447,64,46,426,187,673,177,580,243,340,97,13,18,45,76,49,29,17,22,77,13,43,12,59,58,191,310,129,191,101
"hsa-miR-548k",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,1
"hsa-miR-92b-3p",23,73,26,129,135,47,41,93,82,212,173,358,122,142,68,11,31,90,58,67,50,51,28,69,59,64,11,27,21,186,106,49,65,84
"hsa-let-7b-5p",10,60,17,860,319,62,104,157,213,269,255,862,224,297,115,14,14,29,46,12,32,13,38,49,40,46,16,64,21,77,235,206,180,80
"hsa-let-7d-3p",1,1,1,2,1,1,1,1,1,10063,3846,16496,2618,10102,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,4065,3157,1,12149,0
"hsa-let-7d-5p",2,8,4,161,26,7,8,19,24,117,68,163,59,96,33,1,1,2,5,8,7,3,3,13,6,5,4,17,4,65,35,64,70,14
"hsa-let-7e-5p",1,1,1,2,1,1,1,1,1,18647,9883,30332,6930,14306,4479,0,0,1,1,1,0,1,1,1,1,1,0,3574,0,2655,7861,7350,9826,4586
"hsa-let-7g-5p",6,22,12,250,62,29,10,23,27,61,47,99,49,45,12,11,4,18,17,23,26,7,24,12,15,23,15,9,15,21,37,29,8,15
"hsa-let-7i-5p",19,53,17,669,221,68,43,92,113,147,86,299,116,155,34,6,25,43,51,40,45,36,46,21,20,48,32,22,13,84,41,49,73,57
"hsa-miR-100-5p",10,11,1,42,33,3,27,24,8,16,0,36,11,6,0,8,1,3,4,42,12,24,10,6,4,10,9,3,6,4,4,1,9,3
"hsa-miR-101-3p",1,15,8,48,64,11,0,8,29,20,11,58,19,37,6,1,7,6,3,15,4,18,18,13,13,15,4,4,4,7,14,4,3,15
"hsa-miR-103a-3p",5,27,9,114,143,15,10,29,72,82,28,444,52,190,19,7,7,25,12,18,8,29,5,36,7,11,18,78,26,12,33,9,25,14
"hsa-miR-106b-3p",2,5,1,22,23,6,3,16,17,57,24,79,36,102,9,0,1,7,1,1,2,1,2,4,3,8,3,0,0,24,14,19,52,21
