"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-1307-5p",0,124,0,2053,395,129,531,78,272,57,23,15,21,12,0,0,86,0,0,43,0,0,75,121,128,68,0,0,80,22,9,6,31,0
"hsa-miR-146a-5p",1586,1068,1362,19417,937,916,1020,3831,525,6078,1327,705,1037,266,738,1108,1480,1072,3355,1305,1682,990,1563,881,722,1514,1399,470,732,1278,1551,1929,1538,3623
"hsa-miR-150-5p",6614,4617,4205,1197,2329,3905,3083,1722,733,7669,6889,1907,8004,547,1496,3104,6862,4791,5679,5857,8311,7717,5162,3978,4064,6531,3938,4445,6633,2881,4676,3562,1962,4735
"hsa-miR-196b-5p",0,0,162,44,5,0,0,0,15,37,35,2,0,0,0,99,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",1350,744,1454,5218,790,1107,1642,704,250,2526,1369,372,747,196,375,476,1823,869,2880,922,966,1037,1580,1201,1050,1258,1069,430,470,942,979,762,987,1521
"hsa-miR-30c-5p",745,758,504,2039,738,536,648,588,253,1638,437,181,688,99,343,370,925,634,989,549,837,519,1051,935,528,700,540,397,476,511,664,537,273,821
"hsa-miR-484",1239,2196,775,2185,1703,1229,1323,1152,1005,3038,2256,2390,1648,1039,1160,1508,1207,1413,1771,1371,1477,1805,1526,1220,955,2113,1654,1726,1539,2156,1975,1715,1087,2408
"hsa-miR-93-5p",476,649,321,692,349,206,616,166,87,193,89,57,139,26,139,487,448,322,251,546,760,539,526,626,662,567,460,160,117,90,64,136,80,57
"hsa-miR-127-3p",0,156,199,1443,387,161,196,903,122,1297,437,366,169,95,179,0,235,71,316,176,205,129,64,31,109,131,46,253,249,477,591,487,354,354
"hsa-miR-151a-5p",772,1640,1974,13119,2016,1306,2064,3020,589,7745,1691,823,1726,290,2088,1052,1779,1169,3116,1925,1449,1118,1214,2209,1007,1638,1025,1593,1665,1990,3389,2306,1775,2864
"hsa-miR-548k",0,0,0,181,181,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,233,0,0,182
"hsa-miR-92b-3p",2729,1709,1923,634,624,1197,2305,626,303,2092,2129,560,857,106,1646,719,3406,2007,3102,2708,2320,2415,1670,2470,2754,2443,1207,748,676,1611,1294,964,692,2105
"hsa-let-7b-5p",1078,1499,1269,5139,1442,1368,5963,941,786,2429,3054,1630,1662,263,2846,1193,1286,892,2171,854,1440,928,1535,1620,1763,1612,1128,1586,785,1022,2638,3094,1608,2306
"hsa-let-7d-3p",1,1,1,2,1,1,1,1,1,474303,174714,121702,61724,48401,42731,0,0,1,1,0,1,1,1,1,1,1,1,0,0,233990,244500,72707,514680,0
"hsa-let-7d-5p",199,168,223,1008,102,130,344,110,87,1206,771,247,417,89,819,182,195,83,262,272,259,147,134,332,254,196,194,437,134,654,493,1075,600,496
"hsa-let-7e-5p",1,1,1,2,1,1,1,1,1,828013,472233,206223,178670,51765,466574,0,0,1,1,1,0,2,1,1,1,2,0,372840,0,138134,419087,545550,344625,633603
"hsa-let-7g-5p",663,504,978,1553,272,737,460,118,82,613,577,156,404,36,237,1085,304,511,951,922,1001,472,919,577,786,836,818,223,356,229,425,453,110,417
"hsa-let-7i-5p",2248,1220,1237,4084,1006,1695,2255,530,387,1480,965,529,959,161,722,275,2793,1191,2517,1788,1916,1739,1885,1147,1315,1804,1794,565,404,806,586,848,648,1419
