"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-29b-3p",0,0,0,3,12,0,0,0,0,0,0,6,12,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29c-3p",0,0,0,466,1197,1157,0,0,0,220,460,895,949,510,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2262,0,665,0,0
"hsa-miR-29c-5p",0,0,0,3,0,0,0,0,0,0,25,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3065-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3074-5p",0,0,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
"hsa-miR-30d-3p",0,0,0,345,0,0,0,0,0,354,0,512,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1050,0,0,0
"hsa-miR-3120-3p",0,0,0,153,0,0,0,0,0,0,0,314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0
"hsa-miR-3121-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3127-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
"hsa-miR-3138",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"hsa-miR-3158-3p",0,0,0,97566,519026,0,0,432498,450970,0,2,1,3,0,0,3,0,2,0,0,0,7,3,0,2,2,0,0,3,0,2,2,0,0
"hsa-miR-3177-3p",0,0,0,13,0,0,0,26,0,18,38,12,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3180-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3183",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-32-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-320b",0,0,0,39420,0,0,0,0,207363,2,1,1,0,0,1,3,0,3,0,2,0,0,0,2,5,2,4,0,0,0,0,3,2,0
"hsa-miR-320d",0,0,0,35290,0,0,0,692074,0,0,0,1,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"hsa-miR-323a-3p",0,0,0,3,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
"hsa-miR-323b-3p",0,0,0,2224,1131,0,0,1804,0,0,0,785,0,637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,127,363,0,0
"hsa-miR-324-5p",0,0,0,164,0,0,0,0,392,0,0,0,0,418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0
"hsa-miR-326",0,0,0,2064,780,0,0,1673,1309,1373,2475,699,0,2163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1026,1399,5820,0
"hsa-miR-330-3p",0,0,0,1000,168,0,2432,346,1180,1787,1828,286,673,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2253,3047,1769,0
"hsa-miR-331-3p",0,0,0,10,12,0,0,38,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"hsa-miR-335-3p",0,0,0,3750,260,639,0,1130,281,1340,245,472,796,0,599,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2245,2817,0,0,0
"hsa-miR-337-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-338-3p",0,0,0,474,1214,0,1661,0,1626,955,984,1115,448,1580,2277,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,3324,0,2577,1482
"hsa-miR-338-5p",0,0,0,3,19,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-339-3p",0,0,0,1834,2918,0,4901,3039,756,3219,2144,3986,644,7191,1598,0,0,0,1,1,1,1,1,1,0,1,0,1271,8018,0,2169,0,2270,2078
"hsa-miR-33b-5p",0,0,0,6,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-340-5p",0,0,0,2316,722,2363,0,1009,517,1715,0,170,0,1045,1116,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,6020,0,0,0
"hsa-miR-34a-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3661",0,0,0,3,0,0,0,0,0,0,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3677-3p",0,0,0,316,0,0,0,0,0,207,0,175,0,522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,808,0,0,0,0,0
