"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-93-5p",21,30,13,11,19,11,27,12,13,5,6,8,7,11,10,24,16,10,3,16,29,17,14,17,24,15,13,13,9,6,4,9,5,2
"hsa-miR-127-3p",0,8,8,23,21,9,10,61,20,27,24,44,13,44,17,0,7,2,8,7,8,5,1,1,4,4,1,14,15,34,39,33,22,13
"hsa-miR-151a-5p",37,78,75,210,118,75,106,225,106,153,104,133,105,168,155,55,55,39,81,65,45,28,28,65,25,44,22,96,109,130,236,149,105,123
"hsa-miR-548k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2
"hsa-miR-92b-3p",118,85,77,12,36,59,101,48,48,49,101,82,52,70,108,48,98,74,65,88,75,77,37,63,100,67,22,44,40,126,81,57,36,102
"hsa-let-7b-5p",48,71,50,86,84,74,261,78,127,61,149,196,96,147,182,58,42,27,51,18,48,22,45,44,67,48,28,103,39,53,179,235,98,98
"hsa-let-7d-3p",1,1,1,1,1,1,1,1,1,1382,1525,2612,594,3546,663,0,0,1,1,0,1,1,1,1,1,1,1,0,0,2115,2085,677,4631,0
"hsa-let-7d-5p",9,9,9,17,6,7,17,9,14,26,40,37,25,47,52,9,6,2,6,10,10,4,3,11,10,5,6,25,5,42,26,72,34,18
"hsa-let-7e-5p",1,1,1,1,1,1,1,1,1,3040,4246,5371,2132,5409,5807,0,0,1,1,1,0,1,1,1,1,1,0,4768,0,1310,4133,6523,4061,4372
"hsa-let-7g-5p",30,25,38,26,16,36,22,10,14,15,28,22,21,22,18,46,13,15,19,30,37,10,28,12,26,24,24,14,27,14,27,31,5,18
"hsa-let-7i-5p",95,61,50,68,58,85,104,44,64,34,51,68,50,77,53,23,78,38,56,55,67,55,55,21,36,50,53,34,23,57,31,56,40,68
"hsa-miR-100-5p",50,11,4,4,8,3,66,12,4,4,0,9,4,1,0,35,6,3,4,56,17,35,12,5,6,10,16,4,9,2,3,1,4,3
"hsa-miR-101-3p",9,18,25,5,18,14,0,4,17,4,6,13,8,18,9,8,20,5,4,19,6,25,21,11,21,15,6,5,6,4,10,4,2,17
"hsa-miR-103a-3p",24,32,28,12,42,19,24,14,46,19,17,102,23,94,30,26,22,21,14,24,13,41,6,31,12,12,28,122,45,7,21,7,12,15
"hsa-miR-106b-3p",7,5,3,2,6,7,5,8,10,13,14,18,16,50,14,0,5,5,1,1,3,1,2,4,3,8,5,0,0,16,11,22,26,24
"hsa-miR-125b-5p",41,16,9,6,14,14,17,25,11,9,11,22,9,18,18,37,0,3,44,34,19,1,8,6,6,41,1,13,15,25,16,3,7,11
