"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-484",1,37,2,770,705,23,6,246,541,395,208,6070,309,4430,30,2,2,41,6,7,7,12,10,7,3,25,6,34,25,282,144,57,121,32
"hsa-miR-93-5p",0,11,0,216,139,3,2,38,56,25,10,194,23,151,3,1,1,5,1,4,5,3,4,7,3,4,2,3,3,11,4,5,12,1
"hsa-miR-127-3p",0,3,0,376,147,3,1,135,73,146,44,1080,43,590,5,0,0,2,1,1,2,1,1,0,1,1,0,4,3,58,48,17,50,4
"hsa-miR-151a-5p",1,30,4,3984,998,30,10,642,475,825,185,3298,343,2265,47,2,2,21,18,15,8,4,6,33,2,15,2,26,24,209,293,79,242,35
"hsa-miR-548k",0,0,0,45,48,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"hsa-miR-92b-3p",3,34,4,282,311,22,9,148,209,261,172,1984,170,948,32,1,3,52,11,20,14,13,6,24,15,20,2,12,8,227,95,28,75,32
"hsa-let-7b-5p",1,27,3,1733,715,28,23,248,529,337,256,4692,311,1958,54,2,2,12,10,3,9,3,12,19,11,18,3,29,8,72,219,137,233,28
"hsa-let-7d-3p",0,0,0,2,1,1,0,1,1,18367,5848,135884,5357,96223,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,4344,2575,1,21263,0
"hsa-let-7d-5p",0,4,1,333,61,3,2,31,63,139,66,882,79,606,15,0,0,1,2,3,3,1,1,6,2,2,1,5,1,64,24,34,81,3
"hsa-let-7e-5p",0,1,0,3,1,1,1,1,1,34870,15024,253790,14096,140771,2842,0,0,1,1,1,0,1,1,1,1,1,0,1928,0,3203,9294,5706,19677,1804
"hsa-let-7g-5p",0,11,2,529,149,13,2,38,73,72,45,521,64,280,5,2,0,9,3,7,7,2,8,4,3,8,3,3,6,21,34,18,8,4
"hsa-let-7i-5p",2,24,2,1421,524,32,10,155,300,177,85,1605,156,977,16,0,3,19,10,11,13,9,13,6,5,16,7,10,5,96,33,31,95,20
"hsa-miR-100-5p",2,6,0,108,90,1,7,46,25,17,0,161,12,32,0,1,0,1,1,9,3,5,3,1,1,3,2,1,3,4,3,1,11,1
"hsa-miR-101-3p",0,6,1,97,135,5,0,13,68,25,11,303,25,226,2,0,1,2,1,4,1,4,5,4,3,4,1,2,2,8,14,2,3,6
"hsa-miR-103a-3p",1,12,1,230,302,7,2,44,170,100,29,2285,71,1153,9,1,1,13,2,5,2,8,1,15,1,3,4,39,11,12,31,6,35,5
"hsa-miR-106b-3p",0,2,0,48,52,3,1,25,43,73,25,453,50,656,3,0,0,4,0,1,1,0,1,1,1,2,1,0,0,24,11,11,75,4
"hsa-miR-125b-5p",1,7,0,158,146,6,2,87,58,42,19,476,29,215,4,1,0,1,9,9,4,0,2,2,1,18,0,3,3,41,17,1,12,3
